"","THY1","PTPRC","ITGA6","average"
"g0",0.489740214748914,2.30782757048032,0.113322429246945,0.970296738158727
"g4",0.84244930990619,0.723695746131503,0.618528776475342,0.728224610837678
"g5",1.72373284586183,-1.00314695643376,-0.0607993278117104,0.21992885387212
"g7",-0.10601033072063,0.39379936147922,0.0956086320536814,0.127799220937424
"g3",-0.667657573817867,-0.233450882721592,0.731254133122778,-0.0566181078055601
"g1",-0.276889159672056,-0.0980706219659316,0.0776814627109361,-0.0990927729756838
"g9",-0.997902125344122,-1.04517461341198,1.53383381886539,-0.169747639963569
"g6",1.12318315582306,-0.31535973416905,-1.8483572818075,-0.346844620051165
"g2",-1.16105813074784,-0.847925449526332,0.231656424909034,-0.592442385121712
"g8",-0.969588206037477,0.117805580137594,-1.4927290677649,-0.781503897888261
